ID,LAT,LNG
1,-22.358833936736684,-43.0611954651812
2,-22.35860968787399,-43.06106295230867
3,-22.358569810420736,-43.06096398648452
4,-22.358573690876796,-43.06085310431295
5,-22.358515939826614,-43.06059725549898
6,-22.35842838842252,-43.0604818572049
7,-22.358338843399977,-43.06040070550981
8,-22.35808318648941,-43.06030214428515
9,-22.357965427279463,-43.06026980603571
10,-22.357876550770804,-43.06025884113803
11,-22.357276460907418,-43.06027218635293
12,-22.357157533372533,-43.060253506813986
13,-22.357021254697568,-43.06003769514322
14,-22.356660847524758,-43.059933910783606
15,-22.35662923412252,-43.059651257954634
16,-22.356588178495667,-43.05952028889143
17,-22.3564968480701,-43.05948730092557
18,-22.356350550150932,-43.059449345634505
19,-22.35632131851305,-43.05942343011702
20,-22.35630855834305,-43.05938507706888
21,-22.35633235731887,-43.059236315121126
22,-22.355924035896148,-43.05909901195771
23,-22.356146232637972,-43.05888439521669
24,-22.35614584616256,-43.05858355716428
25,-22.353787407904953,-43.05838327104606
26,-22.35410031229438,-43.05359153054052
27,-22.355858389551933,-43.05303654034442
28,-22.35817846634179,-43.05152605717818
29,-22.35850539879272,-43.05113975186719
30,-22.360941478148238,-43.04820764823013
31,-22.36088626095497,-43.04690435422377
32,-22.365653592574613,-43.046335165949976
33,-22.361879530136264,-43.05010692935609
34,-22.361360757239527,-43.05050669258522
35,-22.36020472197337,-43.05178674075158
36,-22.359194248054205,-43.05257633424885
37,-22.358172805838652,-43.05291537698087
38,-22.359579570525604,-43.057677651995455
39,-22.359536916310844,-43.05775578754315
40,-22.35947782676507,-43.05789753094907
41,-22.35944671104469,-43.058200306086604
42,-22.359406543024775,-43.05834697712566
43,-22.35935216644368,-43.058481385012044
44,-22.359276774283405,-43.05860933664212
45,-22.359219002221213,-43.05874737580705
46,-22.3591936725088,-43.05889698154474
47,-22.359231465222024,-43.05919168163229
48,-22.359203720032863,-43.05948859199315
49,-22.3591996334295,-43.05978552108829
50,-22.359130020291573,-43.06007679682309
51,-22.359087127909024,-43.060222042717236
52,-22.358964775808982,-43.06048586724405
53,-22.358924547587268,-43.06062671291528
54,-22.35889818303619,-43.06077111988642
55,-22.35884901789104,-43.060852179265424
56,-22.358779626029342,-43.06100664388462
